State,District,Latitude,Longitude,District code,Population,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ratio,literacy_rate
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,152651,5121,89.81,70.75
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,193120,8482,86.67,70.45
Haryana,Sirsa,29.635834463276836,74.90970480225988,79,1295189,215527,6287,89.75,60.45
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,79146,1574,98.15,75.3
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,519704,8566,97.08,59.94
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,96082,1615,98.64,62.39
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,104120,2521,109.5,78.74
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,55929,1196,86.05,59.16
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,330081,8053,101.18,76.33
Himachal Pradesh,Kinnaur,31.606671840659335,78.51613736263741,34,84121,17865,354,81.89,72.16
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,91322,2623,94.23,70.26
Himachal Pradesh,Mandi,31.635805940594057,76.96556930693067,27,999777,214491,5333,100.73,72.39
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,172754,9177,91.51,75.26
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,91509,2220,91.78,68.44
Himachal Pradesh,Solan,31.038643119266037,76.94442140672783,31,580320,119866,5250,87.96,73.85
Himachal Pradesh,Una,31.583303883495137,76.18353932038836,29,521173,105929,2412,97.64,76.7
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,61831,596,91.88,53.44
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,294739,19905,88.0,74.32
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,15824,235,81.01,61.25
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,109422,1443,89.03,63.14
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,73629,1537,91.23,52.45
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,62900,346,89.3,54.89
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,165403,16413,89.95,60.52
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,73999,1214,87.0,58.08
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,274726,9754,92.24,61.75
Jharkhand,Chatra,24.116199457504532,84.93295804701627,347,1042886,27037,590,95.32,48.91
Jharkhand,Deoghar,24.330701007556716,86.75697632241814,350,1492073,130193,1944,92.52,53.18
